literacy_rate_percent_all ,Number of doctors per 1000 people (most recent),Nurses Per 1000,Health Spending as a percentage of GDP,Total Health Spending per Capita,Prepaid Private Spending Per Capita,Out-of-Pocket Spending per Capita,Development Assistance for Health Spending per Capita,Neonatal Mortality,Under-5 Mortality,UHC Index,Air Pollution Mortality,WaSH,Output
38.2,0.295,0.36,0.102,168,1,129,29,16.3,22.3,4.9,0,32.2,25.9
97.6,1.286,3.9,0.071,848,23,465,7,50.5,59.1,68.6,48.4,86.1,75.4
80.2,1.192,1.924,0.069,1026,13,282,0,39.3,52.4,63.3,56.7,62.3,63.1
100,3.69,1.924,0.119,9203,691,3306,0,98.4,91.9,95.2,90.9,93.5,94.7
71.1,0.144,1.442,0.026,197,9,63,8,25.9,27.1,29.3,25,9.2,33.4
98.9,0.158,3.064,0.051,1198,104,277,0,57,63.9,61.4,77.1,58.6,69.8
98.1,3.907,4.212,0.067,1457,151,264,9,51.4,61.5,59.1,67.7,67.2,68.1
99.8,2.803,5.423,0.092,849,12,678,11,54.8,61.9,65.3,45.6,78.2,70.7
99,3.496,12.566,0.09,4400,567,855,0,81.5,88,96.3,100,89.6,95.9
99,5.23,8.304,0.103,5183,338,928,0,86,91.4,96.4,83.4,100,93.9
99.8,3.402,6.871,0.067,1221,8,963,3,28,40.9,52.4,32.6,62.4,65.6
95.7,0.922,2.485,0.05,2470,219,606,0,76.5,75,70.8,47.8,63.7,72
61.5,0.472,0.267,0.025,90,2,67,7,21.8,37.8,47,14.6,25.3,47.6
99.7,1.21,4.856,0.074,1237,89,561,0,42.8,58,61.3,77.2,59.3,70.8
99.7,4.07,11.419,0.061,1232,35,428,8,76.5,80.1,74.9,46.5,96.2,79
99,3.011,11.088,0.105,4939,1,890,0,84.4,87.6,92.8,79.2,83,92.9
82.7,0.768,1.816,0.061,544,31,126,29,47.2,57.3,48.6,48.7,46.2,55.7
38.4,0.153,0.598,0.038,82,4,35,25,17,20.4,31.6,10.2,9.3,30.8
64.9,0.381,1.511,0.035,285,3,56,21,23.3,38.6,49.1,31.4,38.8,47.3
95.7,0.473,1.006,0.063,450,13,118,12,30.4,38,42.7,46.1,44.1,48.8
98.5,1.886,5.885,0.094,1076,13,315,6,69.4,81.4,65.8,40.3,95.3,72.2
88.5,0.384,2.727,0.059,1019,319,54,83,50.3,57.1,52,35.7,22,51.5
92.6,1.852,7.444,0.089,1431,405,407,1,45.4,54.1,60.2,67.7,52.4,63.8
96.4,1.746,6.512,0.026,2092,102,129,0,64,68.1,64.8,89.7,77.3,76.4
98.4,3.999,5.318,0.083,1620,20,764,2,66.3,70.6,62.5,42.2,88.9,77.2
36,0.047,0.63,0.054,94,6,34,26,13.5,10.8,31.6,10.7,8.1,30.1
85.6,0.026,0.176,0.084,67,1,13,31,15.3,18,26.1,10.3,3.6,27.4
77.2,0.143,0.951,0.06,213,1,131,35,29.5,39.3,38.8,17.1,31.7,54.8
75,0.083,0.52,0.049,156,5,108,20,14.9,15.7,29.8,9.9,13.1,39.4
99,2.539,9.842,0.104,4921,584,709,0,72.3,80.5,91.8,98.1,82.8,31.9
87.6,0.788,1.256,0.053,356,8,78,50,44.7,53.8,60.1,33.1,35.9,93.8
36.8,0.047,0.252,0.043,28,1,13,10,5.2,6.8,2.6,1.2,1.2,18.6
40.2,0.044,0.309,0.043,103,6,61,8,11.5,9.9,14.5,7.4,5.1,25.4
